Name,Latitude,Longitude,Reef.Type,tCommBiomass_avg,tHerbiBiomass_avg,tCORALavg_avg,tFMAavg_avg
SWCCZFR1,16.8847,-88.0606,Reef Type,643.3477192,1292.035073,22.666667,21.5
SWCCZFR1,16.88471,-88.0567,Reef Type,766,2253,NA,NA
SWCCZFR2,16.8679,-88.0649,Reef Type,667.7738809,916.9511687,13.666667,33.333333
SWCCZFR2,16.86792,-88.06493,Reef Type,478,920,24.33,41.5
SWCCZFR2,16.86805,-88.06128,Reef Type,576,2124,NA,NA
SWCCZFR3,16.84966,-88.06495,Reef Type,1932,3492,NA,NA
SWCCZFR3,16.8499,-88.0709,Reef Type,1510.421732,910.5274502,22.333333,28.333333
SWCCZFR3,16.84992,-88.07088,Reef Type,1958,2273,45.83,31.17
SWCCZFR4,16.83376,-88.06993,Reef Type,677,1270,NA,NA
SWCCZFR4,16.83489,-88.07456,Reef Type,276,672,25.83,38.17
SWCCZFR4,16.8349,-88.0746,Reef Type,1301.970801,1201.865165,17.666667,28.5
SWCCZFR5,16.81828,-88.07736,Reef Type,334,478,25.67,39.5
SWCCZFR5,16.8183,-88.0774,Reef Type,502.8428083,583.5864467,15.5,29.5
SWCCZFR6,16.8059,-88.07394,Reef Type,727,2362,NA,NA
SWCCZFR6,16.8131,-88.07774,Reef Type,670,2586,29.5,23.5
SWCCZFR6,16.8131,-88.0777,Reef Type,124.864662,594.1214808,14,30.333333
SWCGUZFR1,16.91365,-88.04752,Reef Type,1019,2315,NA,NA
SWCGUZFR1,16.9142,-88.0499,Reef Type,1485.43499,691.2838034,17.166667,29
SWCGUZFR1,16.91421,-88.04989,Reef Type,1130,605,11.33,40.67
SWCGUZFR2,16.9036,-88.0542,Reef Type,734.0258777,841.9893711,14.166667,24.166667
SWCGUZFR2,16.90361,-88.05419,Reef Type,655,1358,20.83,35.5
SWCGUZFR2,16.90474,-88.05085,Reef Type,1207,2115,NA,NA
SWCGUZFR3,16.78895,-88.07572,Reef Type,347,1972,22.67,32.67
SWCGUZFR3,16.789,-88.0757,Reef Type,426.669507,1239.339203,12.666667,21.5
SWCGUZFR3,16.78907,-88.07335,Reef Type,329,2305,NA,NA
SWCGUZFR4,16.77758,-88.07501,Reef Type,279,466,10,38
SWCGUZFR4,16.7776,-88.075,Reef Type,970.3685399,815.2429303,17.166667,19.833333
SWCGUZFR4,16.77826,-88.07259,Reef Type,1105,1525,NA,NA
SWCGUZFR5,16.76353,-88.07192,Reef Type,1322,3524,NA,NA
SWCGUZFR5,16.76858,-88.07501,Reef Type,887,984,38,35.5
SWCGUZFR5,16.7686,-88.075,Reef Type,477.9982151,547.7518067,13.166667,22.833333
SWCGUZFR6,16.75225,-88.07146,Reef Type,741,4766,NA,NA
SWCGUZFR6,16.76079,-88.07356,Reef Type,1182,5973,27.67,22
SWCGUZFR6,16.7608,-88.0736,Reef Type,470.7666612,337.9377949,16.5,18
Sandbore SPAG site,17.4303,-87.45177,Reef Type,614,1984,23,16.08
Seal Caye,16.1237,-88.3787,Reef Type,982.2115855,7041.106562,15.833333,17.666667
Sianora Dive Site,17.19558,-87.9318,Reef Type,1252,2086,9.83,6
Soldier Point,17.3341,-87.7871,Reef Type,115.7180936,1141.338675,13.416667,23.75
South Point Wreck Site,17.15318,-87.59994,Reef Type,1588,1238,19.83,3.17
South Snake Caye,16.17913,-88.56444,Reef Type,12447,8839,NA,NA
South Snake Caye,16.17914,-88.56445,Reef Type,399,284,11.83,5.42
South Tip of Sapodillas,16.10412,-88.32987,Reef Type,1076,2013.5,27.915,17.71
South Water  Caye Reef,16.7365,-88.1485,Reef Type,511.9227077,912.7339341,7.333333,11.166667
South Water Caye,16.6302,-88.2061,Reef Type,2887.712729,3786.864142,17,7.333333
South of Carrie Bow Caye,16.64572,-88.0662,Reef Type,5056,2739,8.5,15.33
South of Curlew (sunken caye),16.76494,-88.0761,Reef Type,399,1195,18.67,4.5
Southwest Glovers Patch,16.74339,-87.85077,Reef Type,593,1612,18.67,15.33
Southwest Glovers patch,16.74339,-87.85077,Reef Type,269,533,27.83,13.83
Southwest Glover’s Patch,16.7434,-87.8508,Reef Type,1948.529684,5838.370474,22.666667,5.166667
Southwest of Maugre Caye,17.56664,-87.7489,Reef Type,5583,5631,14.5,9.5
Southwest of Seal Caye,16.12373,-88.37861,Reef Type,527,2298,12.67,25.67
Southwest of Seal Caye,16.1548,-88.3729,Reef Type,697.5,1674,15,16.125
Spanish Bank,16.15951,-88.41017,Reef Type,2186,6383,NA,NA
Spanish Bank,16.15952,-88.41018,Reef Type,1022,859,9.67,10.17
Spanish Bay,17.3883,-88.0456,Reef Type,1252.946431,1209.992251,19.166667,14.666667
Tarpon Patch,18.17413,-87.83186,Reef Type,403,372,NA,NA
The Anchor,18.0974,-87.85613,Reef Type,524,2082,NA,NA
Transfer Wrecksite,17.3956,-87.46557,Reef Type,581,6890,30.5,6.08
Traps Caye,16.4953,-88.1685,Reef Type,726.7500575,2425.314883,14.583333,3.5
"Traps Caye, Moho",16.4953,-88.1685,Reef Type,91,934,6.83,11.83
Tres Cocos,17.93406,-87.93876,Reef Type,1058.5,1641,16.75,23.085
Tres Cocos,17.9341,-87.9388,Reef Type,1488.227852,2579.056968,13,40.416667
WEst HalfmoonCaye park edge,17.2591,-87.5558,Reef Type,861,3171,23.67,22.67
WP4-BR,17.38659,-87.93578,Reef Type,132,434,15.33,2
WP4-DFR,17.38347,-87.93974,Reef Type,177,1273,10.17,11.5
WP4-SFR,17.38359,-87.93821,Reef Type,327,729,17.67,2.17
WP4_BR,17.38659,-87.93578,Reef Type,826,1372,NA,NA
WP4_DFR,17.38347,-87.93974,Reef Type,1339,2048,NA,NA
WP4_SFR,17.38359,-87.93821,Reef Type,345,2187,NA,NA
WP5-BR,17.54707,-87.82041,Reef Type,107,427,19.83,0.33
WP5-DFR,17.54654,-87.82282,Reef Type,682,467,17.17,19.83
WP5-SFR,17.54674,-87.82186,Reef Type,244,1171,8.83,4.17
WP5_DFR,17.54603,-87.82514,Reef Type,364,1790,NA,NA
WP5_SFR,17.54716,-87.82292,Reef Type,664,1953,NA,NA
WQ4,17.43809,-87.534,Reef Type,519,2932,8.5,1.17
Way Point 3,17.4481,-88.0584,Reef Type,577.0709259,372.0657117,17.333333,1.166667
Wee Wee Cay,16.7574,-88.1442,Reef Type,1218.047787,1736.872929,8,2.083333
West Point 4,17.3835,-87.9397,Reef Type,1564.499189,3749.513003,11.166667,6
West Point 4,17.3836,-87.9382,Reef Type,739.9273509,502.2184408,10.166667,1.5
West Point 4,17.3866,-87.9358,Reef Type,354.4984172,595.1005601,22.166667,0.333333
West Point 5,17.5465,-87.8228,Reef Type,2993.230495,3558.437096,19.666667,13
West Point 5,17.5467,-87.8219,Reef Type,110.4252076,1347.031803,38.833333,0.166667
West Snake Caye,16.18874,-88.56981,Reef Type,25399,8436,NA,NA
West Snake Caye,16.18875,-88.56981,Reef Type,473,592,18,8.17
West of Hat Caye,17.1692,-87.6317,Reef Type,2490,1686,13.17,7.33
West of Jack Barrow Camp,17.54819,-87.821,Reef Type,4010,4283,32.17,0
West of Laughing Bird Caye,16.4563,-88.2097,Reef Type,308,1271,3,32.67
West of Laughing Bird Caye,16.45676,-88.2093,Reef Type,2749,2122,5.5,29.67
West of SAndbore Caye,17.46172,-87.49525,Reef Type,1038,2426,21.67,22.25
White Reef,16.1041,-88.3299,Reef Type,1537.464461,9859.226137,43.833333,5.166667
Wilson,16.22111,-88.58796,Reef Type,7351,17490,NA,NA
Wilson Caye,16.22111,-88.58796,Reef Type,216,477,9.67,15.67
NA,16.2472,-88.176,Reef Type,676,1429,16.17,20.42
NA,16.24728,-88.17989,Reef Type,316,248,15.67,17.33
NA,16.73689,-87.80771,Reef Type,867,716,23.83,16
NA,16.76369,-87.80431,Reef Type,82,21,25.17,9.83
NA,16.81538,-87.85217,Reef Type,2287,3662,34.33,4.83
NA,16.83796,-87.84392,Reef Type,1973,12852,33.83,3.33
NA,17.132,-87.603,Reef Type,334,1206,26.5,9.58
